Hisse,Adi,Sektor,Alt Grup,Aciklama,Beta,FiyatKazanc Orani,PDDD Orani,FiyatSatis Orani,Kar Marji (%),Dolasimdaki Lot,Toplam Gelir,Net Kar,Son Kapanis Fiyati,52 Hafta En Yuksek,52 Hafta En Dusuk,Ortalama Hacim (10 gun),Piyasa Degeri,Son Fiyat,1 Ay Degisim (%),3 Ay Degisim (%),6 Ay Degisim (%),1 Yil Degisim (%),5 Yil Degisim (%),Volatilite
A1CAP.IS,A1 CAPITAL YATIRIM,Financial Services,Capital Markets,"A1 Capital Yatirim Menkul Degerler A.S. operates as a brokerage company. It offers stock and VIOP transactions, investment consultancy, portfolio management, public offering, debt instrument issuances, company valuation, company acquisitions and merger, project finance, capital increase, and call transaction services. The company was registered in 1990 and is based in Istanbul, Turkey.",0.6029491525423728,22.0339,1.370802,0.10769392,-0.486,135000000.0,32592371712.0,-158487584.0,25.0,37.82,23.08,939904.0,3510000128.0,90877.0818181923,7.17229907131935,-1.5151500920837588,-4.761902100333248,3.0927863119824983,7562.622679222028,0.6316220930873945
ACSEL.IS,ACIPAYAM SELULOZ,Basic Materials,Chemicals,"Aciselsan Acipayam Seluloz Sanayi ve Ticaret A.S. purchases, produces, and sells cellulose and cellulose derivatives, and sodium carboxymethyl derivatives in Turkey. The company also engages in the import, export, and trading of various chemicals. Its products are used in detergents, paints, adhesives and thickeners, textiles, foods, oil drilling, ceramics, pharmaceuticals, cosmetics, and tiles and electrodes. The company was incorporated in 1973 and is based in Denizli, Turkey.",0.271,164.3772290717037,2.6796505,2.3708963,12.982,10721700.0,521411296.0,67687840.0,116.0,195.6,100.0,302066.0,1236212096.0,115.3000030517578,7.156138184786916,-0.1677632669788964,-13.153462270095996,28.69737505112732,1761.5626627557176,0.6048730800053361
ADEL.IS,ADEL KALEMCILIK,Industrials,Business Equipment & Supplies,"Adel Kalemcilik Ticaret ve Sanayi A.S. produces, manufactures, and sells stationery products in Turkey. It offers wood-walled pencils, crayons and copy pens, ballpoint, liquid ink pens, markers, felt-tip pens, pastels, watercolors, erasers, sharpeners, finger paints, play dough, and gouache paints; and toys. The company offers its products under the Faber-Castell, Graf von Faber-Castell, Adel, and Panfix, and Citizen brands. It exports its products to approximately 40 countries. The company was incorporated in 1967 and is headquartered in Umraniye, Turkey. Adel Kalemcilik Ticaret ve Sanayi A.S. operates as a subsidiary of AG Anadolu Grubu Holding A.S.",0.464,447261.5858784082,5.804395,5.493277,11.55,259875008.0,1636850944.0,189048992.0,34.3,74.63636,28.477272,3118780.0,8991675392.0,34.599998474121094,-3.5136701471966765,-13.715711245100112,-22.61018079759061,-89.22529705984572,141.41614477331893,1.2364612883160515
ADESE.IS,ADESE GAYRIMENKUL,Real Estate,Real Estate - Diversified,"Adese Gayrimenkul Yatirim A.S. operates in the real estate investment sector. The company engages in the operation and management of shopping malls, residential, and entertainment centers. Adese Gayrimenkul Yatirim A.S. was founded in 1991 and is based in Selcuklu, Turkey.",0.6377666666666666,1.1319797,0.26630047,5.439722,404.069,1008000000.0,413227008.0,1670294016.0,2.2,3.19,1.78,69565832.0,2247840000.0,2.2300000190734863,12.060301928974027,3.2407375213541907,2.2935757240897794,23.888893230461893,32.926168424723734,0.5527656630912013
ADGYO.IS,ADRA GMYO,Real Estate,REIT - Residential,"Adra Gayrimenkul Yatirim Ortakligi Anonim Sirketi engages in the real estate investment activities. It also undertakes and sells housing projects. The company was incorporated in 2020 and is based in Izmir, Turkey.",0.6377666666666666,14.60177,2.1178284,35.132652,63.52100000000001,293700000.0,275871552.0,175236960.0,32.36,41.48,25.2,1655450.0,9692099584.0,37.03113629059358,6.177606438246734,-4.3478260869565215,15.70827303762118,17.521367840675527,1021.1702504368692,0.5870558385259707
AEFES.IS,ANADOLU EFES,Consumer Defensive,Beverages - Non-Alcoholic,"Anadolu Efes Biracilik ve Malt Sanayii Anonim Sirketi, together with its subsidiaries, engages in the production, bottling, distribution, and sale of beer, malt, and non-alcoholic beverages in Turkey and internationally. The company operates through Beer Group and Soft Drinks segments. It is also involved in the production and distribution of carbonated and low alcoholic beverages, water, fruit juice concentrates, purees and fresh fruit, and carbonated soft drinks under the Coca-Cola Company trademark. In addition, it leases intellectual property and related products. Anadolu Efes Biracilik ve Malt Sanayii Anonim Sirketi was incorporated in 1966 and is based in Istanbul, Turkey.",0.72,11.879396,1.6302211,0.87272686,7.3460005,592105024.0,160386514944.0,11782689792.0,237.5,304.75,122.2,3791907.0,139973623808.0,236.3999938964844,12.89398318385209,17.964072403413155,1.8965490933122304,86.9450248500478,1218.2389187907124,0.414379992515581
AFYON.IS,AFYON CIMENTO,Basic Materials,Building Materials,"Afyon Cimento Sanayi Turk Anonim Sirketi engages in the production and sale of cement in Turkey. It offers Portland cement and Portland composite base ash additive cement, as well as clinkers to the construction industry. The company was incorporated in 1954 and is based in Istanbul, Turkey. Afyon Cimento Sanayi Turk Anonim Sirketi operates as a subsidiary of Cimsa Cimento Sanayi ve Ticaret Anonim Sirketi.",-0.23,5.688213,1.1073279,2.7770383,48.928002,400000000.0,2154813696.0,1054317632.0,14.79,17.58,10.98,9343995.0,5984000000.0,14.960000038146973,6.325517858043373,5.056181731752038,20.547946995072863,46.43830736563347,583.5404830280465,0.5040380832582804
AGESA.IS,AGESA HAYAT EMEKLILIK,Financial Services,Insurance - Diversified,"AgeSA Hayat ve Emeklilik Anonim Sirketi engages in the pension and life insurance business primarily in Turkey. It offers credit-linked life and non-credit-linked life policies, such as term life, return of premium, critical illness, and unemployment. The company also provides life savings products, which are written for a contract period. In addition, it offers coverage against disability, death, and medical expenses due to accident. Further, the company provides a range of individual and corporate pension plans, and a range of funds and fund consultancy services. The company was formerly known as AvivaSA Emeklilik ve Hayat A.S. and changed its name to AgeSA Hayat ve Emeklilik Anonim Sirketi in August 2021. The company was founded in 1941 and is based in Istanbul, Turkey.",0.728,11.782178,9.1576395,1.5186151,10.481,180000000.0,18336442368.0,1921754624.0,153.5,154.7,52.65,290973.0,27845998592.0,154.6999969482422,13.917520965946494,28.80932465754913,21.4285675787985,176.2499945504325,1191.295657134287,0.4387636624596327
AGHOL.IS,ANADOLU GRUBU HOLDING,Industrials,Conglomerates,"AG Anadolu Grubu Holding A.S., together with its subsidiaries, engages in the beer, soft drinks, automotive, and other businesses in Turkey and internationally. The company operates through Beer, Soft Drinks, Migros, Automotive, Agriculture, Energy, and Industry, and Other segments. It also produces and sells beer and malt, and carbonated and non-carbonated beverages; and involved in passenger and commercial vehicles business. In addition, the company imports, distributes, markets, and rents motor vehicles; and engages in generators, and spares and component part activities. Further, it is involved in the production of industrial engines; sale of tractors; production of writing instruments; distribution of other imported stationery products; wholesale and retail sale of electricity, insurance agency business; and production, distribution, and transmission of electricity businesses, as well as operates distribution facilities; and provision of IT, internet, and e-commerce services. Additionally, the company purchases, sells, rents, and manages real estate properties; and leases intellectual property. AG Anadolu Grubu Holding A.S. was formerly known as Yazicilar Holding A.S. and changed its name to AG Anadolu Grubu Holding A.S. in December 2017. The company was founded in 1950 and is based in Istanbul, Turkey.",0.206,15.31477,1.0324929,0.23678805,1.544,243535008.0,390313345024.0,6016836096.0,363.0,477.5,200.9,567532.0,92421537792.0,379.5,13.19910514541387,15.701219512195122,8.428571428571429,108.58314589214456,2153.547099853756,0.4654221204869967
AGROT.IS,AGROTECH TEKNOLOJI,Industrials,Conglomerates,"Agrotech Yuksek Teknoloji Ve Yatirim Anonim Sirketi operates as an agricultural and high-technology company in Turkey and internationally. The company's products include tomato, cherry, hazelnut, walnut, apple, pear, peach, nectarine, cucumber, plum, and grape. It also provides software consultancy services. The company was founded in 2013 and is based in Istanbul, Turkey.",0.5784696969696969,53.1,2.576419,5.770428,11.145,1200000000.0,2208501504.0,246138064.0,10.69,47.24,10.25,71946505.0,12743999488.0,180.15131856189979,-17.801858956293522,-29.48207443788785,-29.29427721774987,-10.756300621875816,393.93796967967387,0.6076744067057042
AGYO.IS,ATAKULE GMYO,Real Estate,REIT - Diversified,"Atakule Gayrimenkul Yatirim Ortakligi A.S. is based in Ankara, Turkey.",0.451,30.88,0.5630105,9.543808,308.627,263340000.0,213016096.0,657425152.0,7.8,12.19,6.52,2724348.0,2032984704.0,7.71999979019165,-4.0993837605498,9.79988630736158,-1.2770194488993738,1.2772622657363095,338.9040853018487,0.6004017699064899
